"time","{x1}.crtlInstance.valve" , "{x2}.wtInstance.level"
0 , 0 , 0
0.1 , 0 , 0.11
0.2 , 0 , 0.2
0.3 , 0 , 0.3
0.4 , 0 , 0.4
0.5 , 0 , 0.5
0.6 , 0 , 0.6
0.7 , 0 , 0.7
0.8 , 0 , 0.8
0.9 , 0 , 0.9
1 , 0 , 1
1.1 , 0 , 1.1
1.2 , 0 , 1.2
1.3 , 0 , 1.3
1.4 , 0 , 1.4
1.5 , 0 , 1.5
1.6 , 0 , 1.6
1.7 , 0 , 1.7
1.8 , 0 , 1.8
1.9 , 0 , 1.9
2 , 0 , 2
2.1 , 1 , 2.11
2.2 , 1 , 1.99028
2.3 , 1 , 1.87949
2.4 , 1 , 1.78014
2.5 , 1 , 1.69105
2.6 , 1 , 1.61116
2.7 , 1 , 1.53951
2.8 , 1 , 1.47527
2.9 , 1 , 1.41766
3 , 1 , 1.36601
3.1 , 1 , 1.31968
3.2 , 1 , 1.27814
3.3 , 1 , 1.24089
3.4 , 1 , 1.20749
3.5 , 1 , 1.17753
3.6 , 1 , 1.15067
3.7 , 1 , 1.12659
3.8 , 1 , 1.10499
3.9 , 1 , 1.08562
4 , 1 , 1.06825
4.1 , 1 , 1.05267
4.2 , 1 , 1.03871
4.3 , 1 , 1.02618
4.4 , 1 , 1.01495
4.5 , 1 , 1.00488
4.6 , 1 , 0.995851
4.7 , 0 , 0.987752
4.8 , 0 , 1.08596
4.9 , 0 , 1.18596
5 , 0 , 1.28596
5.1 , 0 , 1.38596
5.2 , 0 , 1.48596
5.3 , 0 , 1.58596
5.4 , 0 , 1.68596
5.5 , 0 , 1.78596
5.6 , 0 , 1.88596
5.7 , 0 , 1.98596
5.8 , 0 , 2.08596
5.9 , 1 , 2.18596
6 , 1 , 2.05852
6.1 , 1 , 1.94068
6.2 , 1 , 1.83501
6.3 , 1 , 1.74025
6.4 , 1 , 1.65528
6.5 , 1 , 1.57908
6.6 , 1 , 1.51075
6.7 , 1 , 1.44948
6.8 , 1 , 1.39454
6.9 , 1 , 1.34527
7 , 1 , 1.30108
7.1 , 1 , 1.26146
7.2 , 1 , 1.22594
7.3 , 1 , 1.19408
7.4 , 1 , 1.16551
7.5 , 1 , 1.13989
7.6 , 1 , 1.11692
7.7 , 1 , 1.09632
7.8 , 1 , 1.07784
7.9 , 1 , 1.06128
8 , 1 , 1.04642
8.1 , 1 , 1.0331
8.2 , 1 , 1.02116
8.3 , 1 , 1.01044
8.4 , 1 , 1.00084
8.5 , 1 , 0.992225
8.6 , 0 , 0.984501
8.7 , 0 , 1.08271
8.8 , 0 , 1.18271
8.9 , 0 , 1.28271
9 , 0 , 1.38271
9.1 , 0 , 1.48271
9.2 , 0 , 1.58271
9.3 , 0 , 1.68271
9.4 , 0 , 1.78271
9.5 , 0 , 1.88271
9.6 , 0 , 1.98271
9.7 , 0 , 2.08271
9.8 , 1 , 2.18271
9.9 , 1 , 2.0556
10 , 1 , 1.93806
